,periodico,title,POS,NEU,NEG,candidates,maximize_sentiment,maximize_sentiment_count,candidates_nombre,Fecha de publicación,Tipo_de_elección,maximize_pos_neg
0,infobae,"Patricia Bullrich, candidata presidencial de JxC: “Los ataques verborrágicos de Milei muestran su personalidad”",0.0252420846372842,0.1541277170181274,0.8206302523612976,milei_bullrich,NEG,0.8206302523612976,milei,2023-08-19,eleccion_general,-0.8206302523612976
1,infobae,Una docente trató de “pelotudos” a sus alumnos por votar a Milei: “Se merecen un gobierno que les saque todos los derechos”,0.0119947679340839,0.0565187707543373,0.9314864873886108,milei,NEG,0.9314864873886108,milei,2023-08-19,eleccion_general,-0.9314864873886108
2,infobae,Carrió renunció a su candidatura al Parlasur por problemas de salud y la cercanía de Macri con Milei,0.014540740288794,0.1753922402858734,0.8100669980049133,milei,NEG,0.8100669980049133,milei,2023-08-19,eleccion_general,-0.8100669980049133
3,infobae,"Javier Milei: “Si soy presidente, Macri va a ser mi representante ante el mundo”",0.2937623858451843,0.6201969981193542,0.0860405787825584,milei,NEU,0.6201969981193542,milei,2023-08-19,eleccion_general,0.6201969981193542
4,infobae,Un colaborador de Mauricio Macri aseguró que “no hay ninguna posibilidad” de que el ex presidente acepte la oferta de Javier Milei,0.0849770680069923,0.6161594390869141,0.2988634407520294,milei,NEU,0.6161594390869141,milei,2023-08-20,eleccion_general,0.6161594390869141
5,infobae,"Elecciones 2023, en vivo: “Con la unidad de JXC y Patricia Bullrich podemos ordenar Argentina”, sostuvo Gerardo Morales tras las PASO",0.3237882852554321,0.6128973364830017,0.0633143857121467,bullrich,NEU,0.6128973364830017,bullrich,2023-08-20,eleccion_general,0.6128973364830017
6,infobae,Lo que Milei no podrá hacer,0.0461647771298885,0.3697822391986847,0.5840529799461365,milei,NEG,0.5840529799461365,milei,2023-08-20,eleccion_general,-0.5840529799461365
7,infobae,Desafío balotaje: cómo es la estrategia de Patricia Bullrich para contener a la UCR y conquistar el voto radical,0.1821257323026657,0.6950470805168152,0.1228271499276161,bullrich,NEU,0.6950470805168152,bullrich,2023-08-20,eleccion_general,0.6950470805168152
8,infobae,Unión por la Patria comienza a dejar atrás el impacto de la derrota y ajusta el discurso para reenfocar la campaña,0.2737295925617218,0.6415059566497803,0.0847644209861755,Desconocido,NEU,0.6415059566497803,uxp,2023-08-20,eleccion_general,0.6415059566497803
9,infobae,El representante del Gobierno ante el BID renuncia al cargo para sumarse a la campaña electoral de Javier Milei: podría ser designado Ministro del Interior,0.0374118350446224,0.520214319229126,0.4423738420009613,milei,NEU,0.520214319229126,milei,2023-08-20,eleccion_general,0.520214319229126
10,infobae,"Javier Milei, la esperanza argentina",0.7074908018112183,0.2463844865560532,0.0461247786879539,milei,POS,0.7074908018112183,milei,2023-08-21,eleccion_general,0.7074908018112183
11,infobae,"Dolarización: ventajas y desventajas del cambio que propone Milei, en un fuerte debate académico",0.157735601067543,0.5881620049476624,0.2541024088859558,milei,NEU,0.5881620049476624,milei,2023-08-21,eleccion_general,0.5881620049476624
12,infobae,"Eduardo Fidanza y el fenómeno Milei: “En esta elección, los padres les preguntaron a sus hijos a quién iban a votar”",0.0686204582452774,0.6415284872055054,0.2898510694503784,milei,NEU,0.6415284872055054,milei,2023-08-21,eleccion_general,0.6415284872055054
13,infobae,Javier Milei también se impuso en la ex Villa 31,0.067779004573822,0.7380849719047546,0.194135993719101,milei,NEU,0.7380849719047546,milei,2023-08-22,eleccion_general,0.7380849719047546
14,infobae,El Gabinete que piensa Javier Milei si llega al Gobierno: los ocho ministerios que tendría y las secretarías clave,0.1059465035796165,0.7676816582679749,0.1263717710971832,milei,NEU,0.7676816582679749,milei,2023-08-22,eleccion_general,0.7676816582679749
15,infobae,Ley de Alquileres: las modificaciones que la oposición busca aprobar el próximo miércoles y el rol de los diputados de Milei,0.1032958999276161,0.7677292227745056,0.1289748698472977,milei,NEU,0.7677292227745056,milei,2023-08-22,eleccion_general,0.7677292227745056
16,infobae,Un líder republicano de EEUU mencionó a Javier Milei y pidió que se lo incluya en el debate presidencial de su partido,0.1327771842479706,0.7267217636108398,0.1405010968446732,milei,NEU,0.7267217636108398,milei,2023-08-22,eleccion_general,0.7267217636108398
